experiment,btormc-btor2-solver-time,boolector-functional-solver-time,boolector-relational-solver-time,z3-functional-solver-time,z3-relational-solver-time,cvc4-functional-solver-time,cvc4-relational-solver-time
1,0.01,0.01,0.06,0.02,0.15,0.05,0.22
2,0.01,0.02,0.05,0.03,0.29,0.12,0.27
3,0.02,0.05,1.79,0.04,0.20,0.80,1.29
4,0.01,0.01,0.01,0.02,0.03,0.02,0.03
5,0.05,0.08,2.54,0.11,0.38,4.87,2.22
6,0.03,0.05,0.68,0.07,1.13,0.63,2.91
7,0.11,0.16,3.86,0.45,8.10,12225.10,35213.50
8,0.05,0.07,10.80,0.18,4.49,17415.50,26895.40
9,0.01,0.03,0.64,0.03,0.25,0.36,12.42
10,0.01,0.01,0.15,0.03,0.13,0.15,0.22
